# Vapor data
#
#
#
#
#		              POSITION				  SIZE					   TIME/ALPHA				   OTHER	
#	startX  startY  startZ  endX	endY	endZ	Init	Growth	RandPos t1	a1	t2	a2	t3	a3	t4	a4	LEVEL	PSID
	19.8	1.8	-0.5	8.36	3.34	-1.00	0.112	0.0225	0.175	0	0.25	1	0.15	0	0	0	0	0	1
	10.19	3.04	-0.75	-4.56	4.95	-2.35	0.4	0.055	0.175	0	0.025	0.65	0.35	0.85	0.3	1	0.25	0	1
	-4.56	4.95	-2.35	-10.04	5.66	-2.55	1.85	-0.066	0.175	0	0.25	1	0.2	0	0	0	0	0	1
	-10.04	5.66	-2.55	-18.41	6.04	-2.75	1.75	-0.055	0.175	0	0.2	0.65	0.15	1	0	0	0	0	1
	5.15	4.1	-0.85	-6.72	6.0	-2.20	1.25	0.125	0.15	0	0.175	1	0.375	0	0	0	0	1	3
	4.93	4.35	-0.85	-6.72	6.36	-2.20	1.25	0.125	0.15	0	0.175	1	0.375	0	0	0	0	1	3
	4.71	4.6	-0.85	-6.72	6.72	-2.20	1.25	0.125	0.15	0	0.175	1	0.375	0	0	0	0	1	3
	4.49	4.85	-0.85	-6.72	7.08	-2.20	0.95	0.125	0.15	0	0.175	1	0.375	0	0	0	0	1	3
	4.27	5.1	-0.85	-6.72	7.44	-2.20	0.95	0.125	0.15	0	0.175	1	0.375	0	0	0	0	1	3
	4.05	5.35	-0.85	-6.72	7.8	-2.20	0.95	0.125	0.15	0	0.175	1	0.375	0	0	0	0	1	3
	3.93	5.6	-0.85	-6.72	8.16	-2.20	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	1	3
	3.71	5.85	-0.85	-6.72	8.52	-2.20	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	1	3
	3.49	6.1	-0.85	-6.72	8.88	-2.18	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	1	3
	3.27	6.35	-0.85	-6.72	9.24	-2.16	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	1	3
	3.05	6.6	-0.85	-6.72	9.6	-2.14	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	1	3
	2.83	6.75	-0.85	-6.72	9.96	-2.12	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	1	3
	2.51	7.0	-0.85	-6.72	10.32	-2.1	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	2	3
	2.39	7.25	-0.85	-6.72	10.68	-2.08	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	2	3
	2.17	7.5	-0.85	-6.72	11.04	-2.06	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	2	3
	1.95	7.75	-0.85	-6.72	11.4	-2.04	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	2	3
	1.73	8.0	-0.85	-6.72	11.76	-2.02	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	2	3
	1.51	8.25	-0.85	-6.72	12.12	-2.0	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	2	3
	1.29	8.5	-0.85	-6.72	12.48	-1.98	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	2	3
	1.07	8.75	-0.85	-6.72	12.84	-1.96	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	2	3
	0.85	9.0	-0.85	-6.72	13.2	-1.94   0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	2	3
	0.63	9.25	-0.85	-6.72	13.56	-1.92   0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	2	3
	0.41	9.5	-0.85	-6.72	13.92	-1.9    0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	2	3
	0.19	9.75	-0.85	-6.72	14.28	-1.88	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	2	3
	-0.03	10.0	-0.85	-6.72	14.64	-1.86	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	2	3
	-0.25	10.25	-0.85	-6.72	15.0	-1.84	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	2	3
	-0.47	10.5	-0.85	-6.72	15.36	-1.82	0.95	0.125	0.15	0	0.175	1	0.395	0	0	0	0	2	3
#
