# Title: Su-15 Flagon
# Author: BMS
# Revision: Flight Model Manager ver:1.7.4.63 Date: 1/19/2020 10:09:48 PM
#-----------------------------------------------------
# Comments
#-----------------------------------------------------
#Engines,MIG21 Wing
#Modif Mav-Jp: Store limiter to be used in associated WCD
#Modif Falcas: GearPos / Flaps / landingAOA / elevatorRoll
#Modif Falcas: HasOldLandingLight
#Modif Falcas: 01/11/2011
#
#-----------------------------------------------------
# SIMULATION INPUT PANEL
#-----------------------------------------------------
#
#-----------------------------------------------------
# INPUT MASS AND GEOMETRIC PROPERTIES
#-----------------------------------------------------
         +27000.000000  # Empty Weight (lbs)
           +394.000000  # Reference Area
          +4550.000000  # Internal Fuel
#-----------------------------------------------------
# ANGLE OF ATTACK AND SIDESLIP LIMITS
#-----------------------------------------------------
            +30.000000  # AOA Max
            -10.000000  # AOA Min
            +15.000000  # Beta Max
            -15.000000  # Beta Min
             +8.000000  # Max G
           +190.000000  # Max Roll
           +250.000000  # Min Vcas
          +1200.000000  # Max Vcas
           +500.000000  # Corner Vcas
             +9.000000  # Theta Max
             +3.000000  # Num Gear
#
#Gear    xPos [ft]          yPos [ft]         zPos [ft]         Extent [deg]
         +25.00         +0.00         +5.60         +100.00
         +41.40         -6.10         +5.60         +100.00
         +41.40         +6.10         +5.60         +100.00
#-----------------------------------------------------
# Physical data
#-----------------------------------------------------
            +35.100000  # CG Loc
            +60.000000  # Length
            +28.200000  # Span
             +2.500000  # Fus Radius
             +9.500000  # Tail Ht
#
# End of Airframe data
#
#
#     BASIC AERODYNAMIC COEFFICIENTS
#
#
#-----------------------------------------------------
#     MACH BREAKPOINTS
#-----------------------------------------------------
+9.000000  # Num MACH
#
  +0.000000  +0.400000  +0.690000  +0.830000  +0.890000  +0.950000  +1.200000  +1.600000  +2.500000
#-----------------------------------------------------
#     ALPHA BREAKPOINTS
#-----------------------------------------------------
+12.000000  # Num Alpha
#
 -20.000000 -10.000000  -5.000000  +0.000000  +5.000000 +10.000000 +15.000000 +20.000000 +25.000000 +30.000000
 +35.000000 +40.000000
#-----------------------------------------------------
#     LIFT COEFFICIENT  CL
#-----------------------------------------------------
+1.000000   # Table Multiplier
#
# Mach: 0
  -0.910600  -0.689400  -0.304100  -0.050000  +0.165000  +0.350000  +0.545000  +0.779800  +0.961000  +1.210000
  +1.290000  +1.280000
#
# Mach: 0.4
  -0.914300  -0.692300  -0.306200  -0.050000  +0.165000  +0.350000  +0.545000  +0.778800  +0.957200  +1.210000
  +1.290000  +1.280000
#
# Mach: 0.69
  -0.929000  -0.704000  -0.314000  -0.050000  +0.165000  +0.350000  +0.545000  +0.774500  +0.949200  +1.190000
  +1.301820  +1.297920
#
# Mach: 0.83
  -0.939000  -0.714000  -0.324600  -0.060000  +0.173000  +0.374000  +0.575000  +0.804920  +0.971620  +1.228520
  +1.331820  +1.327920
#
# Mach: 0.89
  -0.970000  -0.724400  -0.343400  -0.060000  +0.180000  +0.375000  +0.575000  +0.840880  +1.006980  +1.262580
  +1.368080  +1.372480
#
# Mach: 0.95
  -1.032200  -0.744400  -0.363400  -0.080000  +0.175000  +0.385000  +0.681040  +0.957140  +1.123240  +1.378840
  +1.484340  +1.488740
#
# Mach: 1.2
  -1.032200  -0.763400  -0.386600  -0.100000  +0.150000  +0.408040  +0.748340  +1.024740  +1.196740  +1.455240
  +1.554140  +1.564140
#
# Mach: 1.6
  -1.032200  -0.763400  -0.386600  -0.100000  +0.150000  +0.408040  +0.748340  +1.024740  +1.196740  +1.455240
  +1.554140  +1.564140
#
# Mach: 2.5
  -1.032200  -0.763400  -0.386000  -0.100000  +0.150000  +0.408040  +0.748340  +1.024740  +1.196740  +1.455240
  +1.554140  +1.564140
#
