10
F16C 0
F16C 19
B52G 28
MG29 0
M1A1 0
T80  0
RWY  0
AH64 0
KC10 28
SA6L 0
2
0 1540500.00 1412500.00 -15000.00 3 65536
1510500.00 1412500.00 -15000.00 0.0 0 11
1612500.00 1412500.00 -15000.00 142.0 0 11
1412500.00 1412500.00 -15000.00 428.0 0 11
3 1565500.00 1412500.00 -15000.00 4 131072
1565500.00 1412500.00 -15000.00 0.0 0 11
1605500.00 1412500.00 -15000.00 60.0 0 11
1685500.00 1412500.00 -15000.00 180.0 2000.0 11
1485500.00 1412500.00 -15000.00 2100.0 0 11
9 1615600.00 1412500.00 0.0 3 262144
1615600.00 1412500.00 0.0 1.0 0 1
1655600.00 1412500.00 0.0 3600.0 2 1
1555600.00 1412500.00 0.0 2500.0 50 1
7 1565500.00 1412500.00 -1500.00 6 131072
1560500.00 1412500.00 -1500.00 0.0 0 11
1561500.00 1412500.00 -1500.00 0.0 0 11
1568500.00 1412500.00 -1500.00 100.0 0 7
1569500.00 1412500.00 -1500.00 200.0 40.0 7
1485500.00 1412500.00 -1500.00 300.0 0 11
1569500.00 1412500.00 -1500.00 400.0 40.0 7
5 1415500.00 1412500.00 0.0 3 262144
1415500.00 1412500.00 0.0 1.0 0 1
1515500.00 1412500.00 0.0 3600.0 2 1
1415500.00 1412500.00 0.0 7200.0 0 1
1 1560500.00 1417500.00 -15000.00 4 131072
1565500.00 1417500.00 -15000.00 0.0 0 11
1685500.00 1417500.00 -15000.00 100.0 0 11
1415500.00 1417500.00 -15000.00 200.0 0 11
1485500.00 1417500.00 -15000.00 300.0 0 11
6 1550500.00 1412500.00 -15000.00 0 0
7 1550500.00 1415500.00 -15000.00 0 0
4 1415600.00 1412500.00 0.0 3 262144
1415600.00 1412500.00 0.0 1.0 0 1
1515600.00 1412500.00 0.0 3600.0 2 1
1415600.00 1412500.00 0.0 2500.0 50 1
4 1415700.00 1412500.00 0.0 3 262144
1415700.00 1412500.00 0.0 1.0 0 1
1515700.00 1412500.00 0.0 3600.0 2 1
1415700.00 1412500.00 0.0 2500.0 50 1
4 1415800.00 1412500.00 0.0 3 262144
1415800.00 1412500.00 0.0 1.0 0 1
1515800.00 1412500.00 0.0 3600.0 2 1
1415800.00 1412500.00 0.0 2500.0 50 1
4 1415900.00 1412500.00 0.0 3 262144
1415900.00 1412500.00 0.0 1.0 0 1
1515900.00 1412500.00 0.0 3600.0 2 1
1415900.00 1412500.00 0.0 2500.0 50 1
4 1416000.00 1412500.00 0.0 3 262144
1416000.00 1412500.00 0.0 1.0 0 1
1516000.00 1412500.00 0.0 3600.0 2 1
1416000.00 1412500.00 0.0 2500.0 50 1
4 1416100.00 1412500.00 0.0 3 262144
1416100.00 1412500.00 0.0 1.0 0 1
1516100.00 1412500.00 0.0 3600.0 2 1
1416100.00 1412500.00 0.0 2500.0 50 1
4 1416200.00 1412500.00 0.0 3 262144
1416200.00 1412500.00 0.0 1.0 0 1
1516200.00 1412500.00 0.0 3600.0 2 1
1416200.00 1412500.00 0.0 2500.0 50 1
4 1416300.00 1412500.00 0.0 3 262144
1416300.00 1412500.00 0.0 1.0 0 1
1516300.00 1412500.00 0.0 3600.0 2 1
1416300.00 1412500.00 0.0 2500.0 50 1
4 1416400.00 1412500.00 0.0 3 262144
1416400.00 1412500.00 0.0 1.0 0 1
1516400.00 1412500.00 0.0 3600.0 2 1
1416400.00 1412500.00 0.0 2500.0 50 1
4 1416600.00 1412500.00 0.0 3 262144
1416600.00 1412500.00 0.0 1.0 0 1
1516600.00 1412500.00 0.0 3600.0 2 1
1416600.00 1412500.00 0.0 2500.0 50 1
4 1416700.00 1412500.00 0.0 3 262144
1416700.00 1412500.00 0.0 1.0 0 1
1516700.00 1412500.00 0.0 3600.0 2 1
1416700.00 1412500.00 0.0 2500.0 50 1
4 1416800.00 1412500.00 0.0 3 262144
1416800.00 1412500.00 0.0 1.0 0 1
1516800.00 1412500.00 0.0 3600.0 2 1
1416800.00 1412500.00 0.0 2500.0 50 1
4 1416900.00 1412500.00 0.0 3 262144
1416900.00 1412500.00 0.0 1.0 0 1
1516900.00 1412500.00 0.0 3600.0 2 1
1416900.00 1412500.00 0.0 2500.0 50 1
4 1417000.00 1412500.00 0.0 3 262144
1417000.00 1412500.00 0.0 1.0 0 1
1517000.00 1412500.00 0.0 3600.0 2 1
1417000.00 1412500.00 0.0 2500.0 50 1
4 1417100.00 1412500.00 0.0 3 262144
1417100.00 1412500.00 0.0 1.0 0 1
1517100.00 1412500.00 0.0 3600.0 2 1
1417100.00 1412500.00 0.0 2500.0 50 1
2 1415500.00 1415500.00 -15000.00 4 131072
1415500.00 1415500.00 -15000.00 0.0 0 11
1485500.00 1415500.00 -15000.00 100.0 0 11
1415500.00 1415500.00 -15000.00 200.0 0 11
1485500.00 1415500.00 -15000.00 300.0 0 11
2 1410500.00 1412500.00 -15000.00 4 131072
1415500.00 1412500.00 -15000.00 0.0 0 11
1485500.00 1412500.00 -15000.00 100.0 0 11
1415500.00 1412500.00 -15000.00 200.0 0 11
1485500.00 1412500.00 -15000.00 300.0 0 11
2 1415500.00 1415500.00 -15000.00 4 131072
1415500.00 1415500.00 -15000.00 0.0 0 11
1485500.00 1415500.00 -15000.00 100.0 0 11
1415500.00 1415500.00 -15000.00 200.0 0 11
1485500.00 1415500.00 -15000.00 300.0 0 11
4 1416000.00 1412500.00 0.0 3 262144
1416000.00 1412500.00 0.0 1.0 0 1
1516000.00 1412500.00 0.0 3600.0 2 1
1416000.00 1412500.00 0.0 2500.0 50 1
4 1416500.00 1412500.00 0.0 3 262144
1416500.00 1412500.00 0.0 1.0 0 1
1516500.00 1412500.00 0.0 3600.0 2 1
1416500.00 1412500.00 0.0 2500.0 50 1
4 1417000.00 1412500.00 0.0 3 262144
1417000.00 1412500.00 0.0 1.0 0 1
1517000.00 1412500.00 0.0 3600.0 2 1
1417000.00 1412500.00 0.0 2500.0 50 1
4 1417500.00 1412500.00 0.0 3 262144
1417500.00 1412500.00 0.0 1.0 0 1
1517500.00 1412500.00 0.0 3600.0 2 1
1417500.00 1412500.00 0.0 2500.0 50 1
4 1418000.00 1412500.00 0.0 3 262144
1418000.00 1412500.00 0.0 1.0 0 1
1518000.00 1412500.00 0.0 3600.0 2 1
1418000.00 1412500.00 0.0 2500.0 50 1
2 1425500.00 1415500.00 -15000.00 4 131072
1415500.00 1415500.00 -15000.00 0.0 0 11
1485500.00 1415500.00 -15000.00 100.0 0 11
1415500.00 1415500.00 -15000.00 200.0 0 11
1485500.00 1415500.00 -15000.00 300.0 0 11
2 1416500.00 1415500.00 -15000.00 4 131072
1415500.00 1415500.00 -15000.00 0.0 0 11
1485500.00 1415500.00 -15000.00 100.0 0 11
1415500.00 1415500.00 -15000.00 200.0 0 11
1485500.00 1415500.00 -15000.00 300.0 0 11
2 1417500.00 1415500.00 -15000.00 4 131072
1415500.00 1415500.00 -15000.00 0.0 0 11
1485500.00 1415500.00 -15000.00 100.0 0 11
1415500.00 1415500.00 -15000.00 200.0 0 11
1485500.00 1415500.00 -15000.00 300.0 0 11
2 1418500.00 1415500.00 -15000.00 4 131072
1415500.00 1415500.00 -15000.00 0.0 0 11
1485500.00 1415500.00 -15000.00 100.0 0 11
1415500.00 1415500.00 -15000.00 200.0 0 11
1485500.00 1415500.00 -15000.00 300.0 0 11
2 1419500.00 1415500.00 -15000.00 4 131072
1415500.00 1415500.00 -15000.00 0.0 0 11
1485500.00 1415500.00 -15000.00 100.0 0 11
1415500.00 1415500.00 -15000.00 200.0 0 11
1485500.00 1415500.00 -15000.00 300.0 0 11
2 1414500.00 1415500.00 -15000.00 4 131072
1415500.00 1415500.00 -15000.00 0.0 0 11
1485500.00 1415500.00 -15000.00 100.0 0 11
1415500.00 1415500.00 -15000.00 200.0 0 11
1485500.00 1415500.00 -15000.00 300.0 0 11
2 1413500.00 1415500.00 -15000.00 4 131072
1415500.00 1415500.00 -15000.00 0.0 0 11
1485500.00 1415500.00 -15000.00 100.0 0 11
1415500.00 1415500.00 -15000.00 200.0 0 11
1485500.00 1415500.00 -15000.00 300.0 0 11
