7
2 0 3    # AN-2
0 0 0    # KC-10
0 0 1   # AH-64D
2 0 0   # MIG19
2 0 1   # MIG29
2 0 2   # SU27
2 0 4   # TU16
7
# NOTE all positions are ownship relative
0     3500.0   -250.0   -10100.0       3  # flight x y z numWaypoints
      3500.0   -250.0   -10100.0     0.0        0     
     18000.0 -10250.0   -10100.0   170.0        0.0   
     26000.0  10464.0   -10100.0   340.0      100.0   
0     3500.0   -250.0    -9900.0       3
      3500.0   -250.0    -9900.0       0.0      0     
     18000.0 -10250.0    -9900.0     170.0      0.0   
     26000.0 -10464.0    -9900.0     340.0    100.0   
0     3500.0   -200.0   -10000.0       3
      3500.0   -200.0   -10000.0       0.0      0     
     18000.0 -10250.0   -10000.0     170.0      0     
     26000.0 -10000.0   -10000.0     180.0    100.0   
0     3500.0   -300.0   -10000.0       3
      3500.0   -300.0   -10000.0       0.0      0     
     18000.0 -10250.0   -10000.0     170.0      0.0   
     26000.0 -10000.0   -10000.0     180.0    100.0   
3      -150.0    550.0   -10000.0   3
       -150.0    550.0    -10000.0      0.0  0      
    100000.0    4050.0    -10000.0     90.0  0      
    -50000.0 50000.0    -10000.0    180.0  1000.0 
6      -150.0   -550.0    -10000.0   3
       -150.0   -550.0    -10000.0      0.0  0      
     100000.0  -4050.0    -10000.0     90.0  0      
    -50000.0 50000.0    -10000.0    180.0  1000.0 
1        0.0  18000.0   -20000.0       5
         0.0  18000.0   -20000.0       0.0       0.0
     90000.0  18000.0   -20000.0     180.0       0.0
     90000.0  48000.0   -20000.0     240.0       0.0
         0.0  48000.0   -20000.0     420.0       0.0
         0.0  18000.0   -20000.0     600.0     600.0
