7
2 0 3    # AN-2
0 0 0    # KC-10
0 0 1   # AH-64D
2 0 0   # MIG19
2 0 1   # MIG29
2 0 2   # SU27
2 0 4   # TU16
5
# NOTE all positions are ownship relative
3  4700.0    500.0   -10000.0 3  # flight x y z numWaypoints
   4700.0    500.0   -10000.0    0.0 0   # waypoint[n] x y z arrival loiter 
  10000.0 -22000.0   -10000.0   50.0    0.0 
  26000.0  10464.0   -10000.0  120.0    0.0 
3  4700.0    550.0   -10050.0 3  # flight x y z numWaypoints
   4700.0    550.0   -10050.0    0.0 0   # waypoint[n] x y z arrival loiter 
  10000.0 -22050.0   -10050.0   50.0    0.0 
  26000.0  10514.0   -10050.0  120.0    0.0 
3  4700.0    600.0   -10100.0 3  # flight x y z numWaypoints
   4700.0    600.0   -10100.0    0.0 0   # waypoint[n] x y z arrival loiter 
  10000.0 -22100.0   -10100.0   50.0    0.0 
  26000.0  10564.0   -10100.0  120.0    0.0 
3  4700.0    650.0   -10150.0 3  # flight x y z numWaypoints
   4700.0    650.0   -10150.0    0.0 0   # waypoint[n] x y z arrival loiter 
  10000.0 -22150.0   -10150.0   50.0    0.0 
  26000.0  10614.0   -10150.0  120.0    0.0 
1     0.0  18000.0   -20000.0 5
      0.0  18000.0   -20000.0    0.0    0.0
  90000.0  18000.0   -20000.0  180.0    0.0
  90000.0  48000.0   -20000.0  240.0    0.0
      0.0  48000.0   -20000.0  420.0    0.0
      0.0  18000.0   -20000.0  600.0  600.0
