// Side SubType Specific

//////////////////////
// Side 1 = Chinese //
//////////////////////

1	1	2
1	1	3
1	1	30
1	3	2
1	3	3
1	3	4
1	6	2
1	7	2
1	9	2
1	11	2
1	14	2

//////////////////////
// Side 2 = DPRK    //
//////////////////////

2	1	1
2	1	4
2	1	5
2	1	6
2	1	17
2	1	18
2	1	23
2	1	25
2	1	26
2	1	27
2	1	30
2	2	3
2	3	1
2	3	5
2	6	3
2	7	3
2	9	3
2	9	6
2	10	1
2	11	1
2	11	3
2	12	1
2	12	4
2	13	2
2	14	1
2	14	5

//////////////////////
// Side 3 = ROK	 //
//////////////////////

3	1	8
3	1	9
3	1	14
3	1	31
3	3	6
3	3	16
3	6	4
3	7	4
3	8	1
3	8	3
3	9	4
3	11	4
3	14	4

//////////////////////
// Side 4 = Soviet  //
//////////////////////

4	1	6
4	1	10
4	1	11
4	1	12
4	1	15
4	1	16
4	1	17
4	1	18
4	1	19
4	1	21
4	1	22
4	1	23
4	1	25
4	1	26
4	1	27
4	1	28
4	1	29
4	1	30
4	1	32
4	2	1
4	3	7
4	3	8
4	3	9
4	5	2
4	6	5
4	8	2
4	9	5
4	9	7
4	10	2
4	10	3
4	10	4
4	11	5
4	12	2
4	12	3
4	13	2
4	14	3
4	15	1

//////////////////////
// Side 5 = US      //
//////////////////////

5	1	7
5	1	13
5	1	20
5	1	24
5	1	31
5	1	33
5	2	2
5	3	10
5	3	11
5	3	12
5	3	13
5	3	14
5	3	15
5	3	17
5	3	18
5	3	19
5	3	20
5	4	1
5	4	2
5	5	1
5	6	1
5	7	1
5	8	1
5	9	1
5	10	5
5	11	6
5	13	1

