// 
// Radio frequency map -- flat text file, controls frequencies used to talk to flights and other agencies
// 
// "//" introduces a line treated as a comment
// 
// Format:  <agency_name>, <VHF_frequency>, <UHF_frequency>
// 
// agency_name: a string that identifies the flight callsign or equivalent
// Frequencies are integers that represent radio frequencies in (kHz * 1000)
// "NONE" is used to indicate no frequency assigned to an agency in that band
// 
// Note: frequencies are range checked so make sure to use legitimate values for
// the frequency band in question.
// 
// Generic
// Callsigns
// 
UNICOM, NONE, 123500
GUARD, 243000, 121500
ADVISORY, 339750, NONE
COMMON_TWR, 257850, 122150
COMMON_APPR, 362300, 142450
AWACS_CHECKIN, NONE, NONE
INTERPLANE, NONE, NONE
FAC, NONE, NONE
PLACEHOLDER, NONE, NONE
PLACEHOLDER, NONE, NONE
PLACEHOLDER, NONE, NONE
PLACEHOLDER, NONE, NONE
PLACEHOLDER, NONE, NONE
PLACEHOLDER, NONE, NONE
PLACEHOLDER, NONE, NONE
PLACEHOLDER, NONE, NONE
Amber1, 390350, 138225
Amber2, 234725, 138600
Amber3, 382375, 142625
Amber4, 377550, 138225
Amber5, 328125, 138600
Amber6, 237350, 142625
Amber7, 227700, 138225
Amber8, 335300, 138600
Amber9, 336950, 142625
Angel1, 304100, 137825
Angel2, 370200, 137825
Angel3, 348125, 137825
Angel4, 230925, 137825
Angel5, 323375, 137825
Angel6, 276625, 137825
Angel7, 245625, 137825
Angel8, 253600, 137825
Angel9, 327575, 137825
Argos1, 241975, 142525
Argos2, 314075, 141650
Argos3, 288175, 142675
Argos4, 291050, 142525
Argos5, 256975, 141650
Argos6, 382225, 142675
Argos7, 380125, 142525
Argos8, 299775, 141650
Argos9, 248125, 142675
Avenger1, 324175, 141900
Avenger2, 272775, 140250
Avenger3, 344925, 138625
Avenger4, 244975, 141900
Avenger5, 308600, 140250
Avenger6, 352000, 138625
Avenger7, 380375, 141900
Avenger8, 360075, 140250
Avenger9, 389750, 138625
Banshee1, 399225, 140375
Banshee2, 355975, 141825
Banshee3, 295475, 138200
Banshee4, 248000, 138350
Banshee5, 355525, 142775
Banshee6, 382400, 139425
Banshee7, 365025, 138950
Banshee8, 236350, 139825
Banshee9, 342800, 140475
Barrel1, 307625, 142750
Barrel2, 337750, 139925
Barrel3, 338000, 143150
