// Type  SubType  Specific  UnitSubType  ID  text  UnitIcon
	0	0	0	0	21101	0	0
// A-4E Skyhawk
	1	2	36	3	21157	504	10092
// A-4E Skyhawk (AGRS)
	1	2	27	3	21339	577	10092
// A-4PTM Skyhawk
	1	2	35	3	21338	576	10092
// A-4SU Super Skyhawk
	1	2	15	3	21311	535	10092
// A-6E Intruder
	1	2	3	3	21327	566	10092
// A-7E Corsair
	1	2	16	3	23128	567	10077
// A-10A Thunderbolt II
	1	2	1	3	21104	1	10066
// A-10C Warthog
	1	2	32	3	21158	505	10066
// A-50 Mainstay AEW
	1	3	1	5	21117	2	10099
// AC-130H Pave Spectre
	1	2	4	3	21107	3	10070
// AJ-37 Viggen
	1	2	14	3	21359	591	10128
// AMX
	1	2	19	3	21271	525	10092
// An-2 Colt
	1	11	3	1	21167	6	10068
// An-24 Coke
	1	11	1	1	21169	7	10097
// An-72 Coaler
	1	11	6	1	21171	433	10097
// An-124 Condor
	1	11	2	1	21166	459	10097
// AV-8B Harrier II
	1	2	7	3	21110	420	10077
// AV-8B Harrier II+
	1	2	2	3	21264	512	10077
// B-1B Lancer
	1	4	1	6	21120	419	10072
// B-2A Spirit
	1	4	2	6	21121	424	10133
// B-52G  Stratofortress
	1	4	3	6	21329	568	10069
// B-52H Stratofortress
	1	4	8	6	21122	9	10069
// C-5B Galaxy
	1	11	10	1	21175	461	10080
// C-17 Globemaster III
	1	11	9	1	21174	434	10080
// C-130H Hercules
	1	11	7	1	21172	10	10070
// C-141B Starlifter
	1	11	8	1	21173	460	10080
// C-160D Transall
	1	11	11	1	21273	462	10070
// C-160T Transall
	1	11	12	1	21277	464	10070
// C-160R AG Transall
	1	11	13	1	21278	467	10070
// C-160R NG Transall
	1	11	14	1	21280	468	10070
// E-2C Hawkeye
	1	3	2	5	21118	423	10137
// E-3A Sentry AWACS
	1	3	3	5	21119	40	10098
// E-8C Joint STARS
	1	8	1	10	21153	428	10083
// EA-6B Prowler
	1	5	1	7	21128	417	10092
// EA-18G Growler
	1	5	3	7	21342	484	10076
// EA-18G Growler RAAF
	1	5	4	7	21343	552	10076
// EF-111A Raven
	1	5	2	7	21330	569	10072
// EF-2000 Typhoon RAF
	1	7	16	9	21281	441	10127
// EF-2000 Typhoon GAF
	1	7	50	9	21206	520	10127
// F-4D Phantom ROKAF
	1	6	44	8	21355	476	10077
